"Observation";"Nom";"Taille";"Performance"
1;"Jacobs (EU)";1.73;2.32
2;"Noji (EU)";1.73;2.31
3;"Conway (EU)";1.83;2.4
4;"Matei (Roumanie)";1.84;2.4
5;"Austin (EU)";1.84;2.4
6;"Ottey (Jamaique)";1.78;2.33
7;"Smith (GB)";1.84;2.37
8;"Carter (EU)";1.85;2.37
9;"McCants (EU)";1.85;2.37
10;"Sereda (URSS)";1.86;2.37
11;"Grant (GB)";1.85;2.36
12;"Paklin (URSS)";1.91;2.41
13;"Annys (Belgique)";1.87;2.36
14;"Sotomayor (Cuba)";1.96;2.45
15;"Sassimovitch (URSS)";1.88;2.36
16;"Zhu Jianhua (Chine)";1.94;2.39
17;"Brumel (URSS)";1.85;2.28
18;"Sjoeberg (Suède)";2;2.42
19;"Yatchenko (URSS)";1.94;2.35
20;"Povarnitsine (URSS)";2.01;2.4
